date,open,high,low,close,volume,ticker
11/2/2016,111.4,112.35,111.23,111.59,28331709,AAPL
11/1/2016,113.46,113.77,110.53,111.49,43825812,AAPL
10/31/2016,113.65,114.23,113.2,113.54,26419398,AAPL
10/28/2016,113.87,115.21,113.45,113.72,37861662,AAPL
10/27/2016,115.39,115.86,114.1,114.48,34562045,AAPL
10/26/2016,114.31,115.7,113.31,115.59,66134219,AAPL
10/25/2016,117.95,118.36,117.31,118.25,48128970,AAPL
10/24/2016,117.1,117.74,117,117.65,23538673,AAPL
10/21/2016,116.81,116.91,116.28,116.6,23192665,AAPL
10/20/2016,116.86,117.38,116.33,117.06,24125801,AAPL
10/19/2016,117.25,117.76,113.8,117.12,20034594,AAPL
10/18/2016,118.18,118.21,117.45,117.47,24553478,AAPL
10/17/2016,117.33,117.84,116.78,117.55,23624896,AAPL
10/14/2016,117.88,118.17,117.13,117.63,35652191,AAPL
10/13/2016,116.79,117.44,115.72,116.98,35192406,AAPL
10/12/2016,117.35,117.98,116.75,117.34,37586787,AAPL
10/11/2016,117.7,118.69,116.2,116.3,64041043,AAPL
10/10/2016,115.02,116.75,114.72,116.05,36235956,AAPL
10/7/2016,114.31,114.56,113.51,114.06,24358443,AAPL
10/6/2016,113.7,114.34,113.13,113.89,28779313,AAPL
10/5/2016,113.4,113.66,112.69,113.05,21453089,AAPL
10/4/2016,113.06,114.31,112.63,113,29736835,AAPL
10/3/2016,112.71,113.05,112.28,112.52,21701760,AAPL
9/30/2016,112.46,113.37,111.8,113.05,36379106,AAPL
9/29/2016,113.16,113.8,111.8,112.18,35886990,AAPL
9/28/2016,113.69,114.64,113.43,113.95,29641085,AAPL
9/27/2016,113,113.18,112.34,113.09,24607412,AAPL
9/26/2016,111.64,113.39,111.55,112.88,29869442,AAPL
9/23/2016,114.42,114.79,111.55,112.71,52481151,AAPL
9/22/2016,114.35,114.94,114,114.62,31073984,AAPL
9/21/2016,113.85,113.99,112.44,113.55,36003185,AAPL
9/20/2016,113.05,114.12,112.51,113.57,34514269,AAPL
9/19/2016,115.19,116.18,113.25,113.58,47023046,AAPL
9/16/2016,115.12,116.13,114.04,114.92,79886911,AAPL
9/15/2016,113.86,115.73,113.49,115.57,90613177,AAPL
9/14/2016,108.73,113.03,108.6,111.77,112340318,AAPL
9/13/2016,107.51,108.79,107.24,107.95,62176190,AAPL
9/12/2016,102.65,105.72,102.53,105.44,45292770,AAPL
9/9/2016,104.64,105.72,103.13,103.13,46556984,AAPL
9/8/2016,107.25,107.27,105.24,105.52,53002026,AAPL
9/7/2016,107.83,108.76,107.07,108.36,42364328,AAPL
